Function,FunctionID,Algorithm,Run,FE,RestartIndex,RestartedParticles,RestartRatio,Diversity,Stagnation,BestFitnessAfterRestart,BestErrorAfterRestart
F20,20,PSO-RS,1,76910,25,5,0.0821852098556209,0.0496585609600592,0,4573.242647444278,2573.242647444278
F20,20,PSO-RS,1,77565,26,5,0.0807989962718044,0.0498751568325305,0,4573.242647444218,2573.242647444218
F20,20,PSO-RS,1,77970,27,5,0.0840551161724426,0.0493663880980558,1,4573.24264744419,2573.24264744419
F20,20,PSO-RS,1,78625,28,5,0.0961254437018781,0.0474803994215815,2,4436.124263817606,2436.1242638176063
F20,20,PSO-RS,1,79581,29,6,0.1098666666666666,0.0491398655012865,14,4275.9374836039,2275.9374836039
F20,20,PSO-RS,1,80337,30,6,0.112,0.0498273283986933,15,4275.9374836039,2275.9374836039
F20,20,PSO-RS,1,81192,31,5,0.0842666666666666,0.0494809484024632,2,4266.441968495163,2266.4419684951627
F20,20,PSO-RS,1,81597,32,5,0.0886934830350651,0.048641643275771,3,4235.488487722825,2235.488487722825
F20,20,PSO-RS,1,82052,33,5,0.0906666666666666,0.0494920876447464,5,4227.537990775943,2227.5379907759434
F20,20,PSO-RS,1,82357,34,5,0.0864,0.0494971389527727,3,4204.957066904075,2204.957066904075
F20,20,PSO-RS,1,82812,35,5,0.0992,0.0485920608107941,9,4204.957066904075,2204.957066904075
F20,20,PSO-RS,1,83167,36,5,0.0933122730529127,0.0479199573354823,4,4170.849746297239,2170.849746297239
F20,20,PSO-RS,1,83472,37,5,0.0865620982446583,0.0489746721492721,1,4138.83406971544,2138.83406971544
F20,20,PSO-RS,1,83827,38,5,0.0913800189935762,0.0482218720322537,2,4115.210470525613,2115.2104705256133
F20,20,PSO-RS,1,84132,39,5,0.0928,0.0488368823207421,6,4115.210470525613,2115.2104705256133
F20,20,PSO-RS,1,84437,40,5,0.082757681180085,0.0495691123156117,0,4112.524821489267,2112.524821489267
F20,20,PSO-RS,1,84792,41,5,0.0870538969431426,0.0488978286026339,2,4101.47182485164,2101.47182485164
F20,20,PSO-RS,1,85147,42,5,0.0949333333333333,0.0496134029887158,7,4101.47182485164,2101.47182485164
F20,20,PSO-RS,1,85602,43,5,0.0864,0.0497166308133432,3,4100.866543261114,2100.866543261114
F20,20,PSO-RS,1,85957,44,5,0.0949333333333333,0.0496728344275673,7,4100.866543261114,2100.866543261114
F20,20,PSO-RS,1,86163,45,6,0.1029437540770538,0.0464150384254603,4,4100.866543261114,2100.866543261114
F20,20,PSO-RS,1,86668,46,5,0.0928,0.0498573052280261,6,4100.825580698156,2100.825580698156
F20,20,PSO-RS,1,87073,47,5,0.090647140198865,0.0483363843439273,1,4100.492893285184,2100.4928932851844
F20,20,PSO-RS,1,87329,48,6,0.1078220501984233,0.0456528046564963,0,4078.1363392439134,2078.1363392439143
F20,20,PSO-RS,1,87684,49,5,0.0906666666666666,0.0486427350609048,5,4022.8307722872514,2022.8307722872516
F20,20,PSO-RS,1,88039,50,5,0.091062965262648,0.0482714116777112,5,3997.8513414636473,1997.8513414636477
F20,20,PSO-RS,1,88394,51,5,0.0851129605358954,0.0492010999162663,0,3947.608792666515,1947.608792666515
F20,20,PSO-RS,1,88699,52,5,0.0928,0.0493961798091735,6,3947.608792666515,1947.608792666515
F20,20,PSO-RS,1,89054,53,5,0.0996065600329169,0.0469364749948567,0,3890.303029475147,1890.303029475147
F20,20,PSO-RS,1,89309,54,5,0.0906666666666666,0.0487775769191583,5,3890.303029475147,1890.303029475147
F20,20,PSO-RS,1,89714,55,5,0.0936939603858751,0.047860318689707,0,3866.459934415815,1866.459934415815
F20,20,PSO-RS,1,90019,56,5,0.0893677584204441,0.0485362877468056,1,3856.743940601285,1856.7439406012843
F20,20,PSO-RS,1,90324,57,5,0.0899948086120028,0.0484383111543745,2,3848.602557383432,1848.602557383432
F20,20,PSO-RS,1,90729,58,5,0.0950724781489453,0.0476449252892272,0,3842.0733159651054,1842.0733159651063
F20,20,PSO-RS,1,91034,59,5,0.0917581131545654,0.0481627948195991,3,3829.5232157342816,1829.5232157342816
F20,20,PSO-RS,1,91339,60,5,0.0861151954164211,0.0490445007161842,1,3827.334681221291,1827.3346812212908
F20,20,PSO-RS,1,91644,61,5,0.0928,0.0493355477573857,6,3827.334681221291,1827.3346812212908
F20,20,PSO-RS,1,91949,62,5,0.0931096401042635,0.0479516187337088,6,3827.334681221291,1827.3346812212908
F20,20,PSO-RS,1,92254,63,5,0.0928,0.0487866961174461,6,3827.334681221291,1827.3346812212908
F20,20,PSO-RS,1,92509,64,5,0.0911623831497769,0.0482558776328473,5,3827.334681221291,1827.3346812212908
F20,20,PSO-RS,1,92814,65,5,0.0906560784280797,0.0483349877456125,4,3826.93421191044,1826.9342119104397
F20,20,PSO-RS,1,93069,66,5,0.0899720954362018,0.0484418600880934,3,3826.7917642952975,1826.7917642952984
F20,20,PSO-RS,1,93324,67,5,0.0855736970399438,0.0491291098375087,2,3826.785040457514,1826.7850404575136
F20,20,PSO-RS,1,93579,68,5,0.0906666666666666,0.0485778453975457,5,3826.785040457514,1826.7850404575136
F20,20,PSO-RS,1,93784,69,5,0.0885333333333333,0.0490465673678754,4,3826.785040457514,1826.7850404575136
