FunctionID,Function,BaseAlgorithm,ComparedAlgorithm,BaseMeanError,ComparedMeanError,PValue,Result
3,F3,ARPSO-SRR,ARPSO-EIS,38.05500455647321,44.2328055636991,0.4898460879921913,NSD
4,F4,ARPSO-SRR,ARPSO-EIS,135.91752086879256,172.09867823921093,0.027741437777876854,Win
5,F5,ARPSO-SRR,ARPSO-EIS,0.00010799927282126495,0.00010022476639051092,0.7765688337385654,NSD
6,F6,ARPSO-SRR,ARPSO-EIS,224.163237469481,316.05577402667626,0.0008718203753232956,Win
7,F7,ARPSO-SRR,ARPSO-EIS,173.73333333333332,162.35046590527477,0.5102614531329369,NSD
8,F8,ARPSO-SRR,ARPSO-EIS,2.5499466542505917,3.129834016503109,0.6408254038542509,NSD
9,F9,ARPSO-SRR,ARPSO-EIS,9.838111380776475,0.0,0.31731050786291415,NSD
10,F10,ARPSO-SRR,ARPSO-EIS,24684.885872282142,25798.0779258218,0.871207794174552,NSD
11,F11,ARPSO-SRR,ARPSO-EIS,3711989.9209488723,3959034.555785832,0.9515264742076397,NSD
12,F12,ARPSO-SRR,ARPSO-EIS,233981.35208483177,314852.98666131555,0.761065473780036,NSD
13,F13,ARPSO-SRR,ARPSO-EIS,105699.78893786398,95516.88490388733,0.8235769439488649,NSD
14,F14,ARPSO-SRR,ARPSO-EIS,110146.77625529912,155380.53954393792,0.23665234446525574,NSD
15,F15,ARPSO-SRR,ARPSO-EIS,3364.6006346501968,3348.39153601198,0.308520769700408,NSD
16,F16,ARPSO-SRR,ARPSO-EIS,1068.9581128678333,1213.3545544949402,0.3284698575735092,NSD
17,F17,ARPSO-SRR,ARPSO-EIS,54001.24051683864,46855.02861843327,0.28936620615422726,NSD
18,F18,ARPSO-SRR,ARPSO-EIS,82581.58791297112,87817.48861327466,0.583757072687149,NSD
19,F19,ARPSO-SRR,ARPSO-EIS,71.58615410462389,66.4591015127898,0.6008710115741303,NSD
20,F20,ARPSO-SRR,ARPSO-EIS,350.6958226788277,308.03965470275915,0.685047073289752,NSD
21,F21,ARPSO-SRR,ARPSO-EIS,0.0,0.0,1.0,NSD
22,F22,ARPSO-SRR,ARPSO-EIS,259.4894955630992,337.4560205970185,0.0032229889184236526,Win
23,F23,ARPSO-SRR,ARPSO-EIS,210.2902666356271,292.1555992142041,1.6838312149047852e-06,Win
24,F24,ARPSO-SRR,ARPSO-EIS,432.1121168157139,437.52134466480805,0.7303419969975948,NSD
25,F25,ARPSO-SRR,ARPSO-EIS,840.3514545495595,841.9356432743264,0.338741784915328,NSD
26,F26,ARPSO-SRR,ARPSO-EIS,535.8285639890535,529.4300279698557,0.46454504504799843,NSD
27,F27,ARPSO-SRR,ARPSO-EIS,211.31611898468455,84.17584375171901,0.012047622352838516,Loss
28,F28,ARPSO-SRR,ARPSO-EIS,24889.559820512797,14904.47874288048,0.12413446232676506,NSD
29,F29,ARPSO-SRR,ARPSO-EIS,559279.1466233494,4356006.725264401,0.7000329215079546,NSD
