Function,FunctionID,Algorithm,Run,Seed,BestFitness,Fopt,BestError,RestartCount,RestartedParticlesTotal,Runtime,FEs
F27,27,ARPSO-Fixed,11,22961440,2717.351557789678,2700.0,17.351557789677827,1695,16950,294.94793939590454,300000
F27,27,ARPSO-Fixed,12,22961441,3138.041384504271,2700.0,438.0413845042708,1703,17030,294.62190890312195,300000
F27,27,ARPSO-Fixed,13,22961442,3133.339856676255,2700.0,433.33985667625484,1710,17100,294.4259469509125,300000
F27,27,ARPSO-Fixed,14,22961443,2751.740754604514,2700.0,51.74075460451422,1661,16610,296.28235387802124,300000
F27,27,ARPSO-Fixed,15,22961444,2723.5226553688344,2700.0,23.52265536883442,1731,17310,296.02546763420105,300000
F27,27,ARPSO-Fixed,16,22961445,3194.1470586941773,2700.0,494.1470586941773,1705,17050,296.88552069664,300000
F27,27,ARPSO-Fixed,17,22961446,2723.187950382499,2700.0,23.18795038249891,1593,15930,296.4041745662689,300000
F27,27,ARPSO-Fixed,18,22961447,2717.4038077801133,2700.0,17.40380778011331,1609,16090,296.8195872306824,300000
F27,27,ARPSO-Fixed,19,22961448,3135.2138610617676,2700.0,435.2138610617676,1670,16700,295.6617703437805,300000
F27,27,ARPSO-Fixed,20,22961449,3158.3886904128335,2700.0,458.3886904128335,1600,16000,293.33015060424805,300000
F27,27,ARPSO-Fixed,21,22961450,2723.4333007053883,2700.0,23.43330070538832,1729,17290,296.10429191589355,300000
F27,27,ARPSO-Fixed,22,22961451,2726.9880178133844,2700.0,26.98801781338443,1905,19050,301.7911455631256,300000
F27,27,ARPSO-Fixed,24,22961453,2747.213471876329,2700.0,47.213471876329095,1724,17240,296.85486483573914,300000
F27,27,ARPSO-Fixed,23,22961452,3155.095133755395,2700.0,455.0951337553952,1638,16380,309.05591225624084,300000
F27,27,ARPSO-Fixed,25,22961454,2716.0129720176496,2700.0,16.012972017649645,1678,16780,308.56895112991333,300000
F27,27,ARPSO-Fixed,26,22961455,2726.421985700236,2700.0,26.421985700235837,1660,16600,317.79956102371216,300000
F27,27,ARPSO-Fixed,28,22961457,2723.810971778931,2700.0,23.81097177893116,1681,16810,314.6999022960663,300000
F27,27,ARPSO-Fixed,27,22961456,3156.9778531671445,2700.0,456.97785316714453,1659,16590,319.1026644706726,300000
F27,27,ARPSO-Fixed,29,22961458,3116.2871726089184,2700.0,416.28717260891835,1720,17200,309.38623547554016,300000
F27,27,ARPSO-Fixed,30,22961459,3123.4860994525043,2700.0,423.4860994525043,1757,17570,302.32630348205566,300000
F27,27,ARPSO-Global,2,22962431,3213.9382758677366,2700.0,513.9382758677366,1606,11603,302.4215612411499,300000
