source_file,Algorithm,Function,CurveBin,__rows,MeanBest__min,MeanBest__max
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,42,669,64246.426830742,83314.68261552554
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,43,810,40266.73993806245,64237.32663195884
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,44,982,24431.903360871907,40265.28121117995
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,45,377,21342.588624612268,24430.61275354963
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,3,1,18991342726.064384,18991342726.064384
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,5,1,12836807888.23418,12836807888.23418
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,7,1,8669816355.607878,8669816355.607878
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,8,1,6392249673.9240265,6392249673.9240265
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,9,1,5271130012.5745325,5271130012.5745325
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,10,2,3337750332.553085,4287249484.942831
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,11,1,2879838901.020532,2879838901.020532
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,12,3,1903060727.9420755,2517434193.756356
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,13,2,1644261774.9959114,1763235042.784522
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,14,3,1337413906.0297763,1478630792.7861855
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,15,4,1140664546.7099042,1286863378.8037078
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,16,5,991019275.927636,1107872530.1372132
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,17,5,939387712.5108664,991019275.927636
