source_file,Algorithm,FunctionID,Function,CurveBin,__rows,FE__mean,MeanBestError__mean,MeanBestError__min,MeanBestError__max,StdBestError__mean,StdBestError__min,StdBestError__max
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,59,3,90000.0,0.0024281873289667666,0.0021141505250303,0.0027151846171212,0.0015185352822161,0.0013743410787124,0.0017053854886291
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,60,5,110000.0,0.00100637945760084,0.0005090463415929,0.0016679772757394,0.00079373775551268,0.0005629420152947,0.0011878975034757
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,61,5,135000.0,0.00031291904421888,0.0002381777943374,0.0004234325565979,0.00044773390210513995,0.0003987476479121,0.0004982899264121
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,62,6,162500.0,0.00019056670010995,0.0001666826103398,0.0002182915363656,0.0003313371003212,0.0002876085773963,0.0003785066311426
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,63,8,197500.0,0.000142890356736525,0.0001294484715572,0.0001613111229043,0.0002355508676872375,0.0002074221274631,0.0002768685574132
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,64,9,240000.0,0.00011904551728735557,0.0001128956413253,0.0001252419573006,0.00019060544891855556,0.0001786381270099,0.0002001501057675
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,65,8,282500.0,0.00010496494016654669,9.459452821147353e-05,0.0001117135740457,0.000167968273223875,0.0001626688451474,0.0001763964342279
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,44,1,5000.0,318143.5427892892,318143.5427892892,318143.5427892892,123769.92916125875,123769.92916125875,123769.92916125875
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,48,1,10000.0,270405.3642678636,270405.3642678636,270405.3642678636,101289.82488832615,101289.82488832615,101289.82488832615
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,50,1,15000.0,229428.835318214,229428.835318214,229428.835318214,77512.70515214535,77512.70515214535,77512.70515214535
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,51,1,20000.0,204699.30411811572,204699.30411811572,204699.30411811572,58827.437690215935,58827.437690215935,58827.437690215935
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,52,1,25000.0,185239.53757281232,185239.53757281232,185239.53757281232,47173.21262324291,47173.21262324291,47173.21262324291
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,53,1,30000.0,165221.00733654466,165221.00733654466,165221.00733654466,37416.276432039245,37416.276432039245,37416.276432039245
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,54,1,35000.0,151318.15356658207,151318.15356658207,151318.15356658207,36293.866080189226,36293.866080189226,36293.866080189226
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,55,2,42500.0,129982.7902292769,123982.44265206292,135983.13780649088,33670.364207508355,30840.82041987853,36499.90799513818
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,56,2,52500.0,108243.9607916143,103745.091490399,112742.8300928296,28186.976231910558,26924.13977769988,29449.812686121237
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,57,2,62500.0,91522.14281756608,87611.35059742101,95432.93503771116,23743.990751515077,23525.18589879035,23962.795604239807
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,58,3,75000.0,66970.29074461728,58119.98265916098,76497.10757333119,22493.96154629297,22096.46706544492,23166.81243824767
