source_file,Algorithm,Function,__rows,Best__sum,Best__count,Best__min,Best__max,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,Best__mean,AvgRestart__mean
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F17,1,158.6408624777573,1,158.6408624777573,158.6408624777573,0.0,1,0.0,0.0,158.6408624777573,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F18,1,19201.6884918694,1,19201.6884918694,19201.6884918694,0.0,1,0.0,0.0,19201.6884918694,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F19,1,139.47723678388093,1,139.47723678388093,139.47723678388093,0.0,1,0.0,0.0,139.47723678388093,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F20,1,-572.6819855242597,1,-572.6819855242597,-572.6819855242597,0.0,1,0.0,0.0,-572.6819855242597,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F21,1,272.75304437163004,1,272.75304437163004,272.75304437163004,0.0,1,0.0,0.0,272.75304437163004,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F22,1,-14306.66465206715,1,-14306.66465206715,-14306.66465206715,0.0,1,0.0,0.0,-14306.66465206715,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F23,1,200.1334610569265,1,200.1334610569265,200.1334610569265,0.0,1,0.0,0.0,200.1334610569265,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F24,1,200.00391487536623,1,200.00391487536623,200.00391487536623,0.0,1,0.0,0.0,200.00391487536623,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F25,1,421.1373943161507,1,421.1373943161507,421.1373943161507,0.0,1,0.0,0.0,421.1373943161507,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F26,1,842.0991493578717,1,842.0991493578717,842.0991493578717,0.0,1,0.0,0.0,842.0991493578717,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F27,1,466.1348657603553,1,466.1348657603553,466.1348657603553,0.0,1,0.0,0.0,466.1348657603553,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F28,1,348.0893551241884,1,348.0893551241884,348.0893551241884,0.0,1,0.0,0.0,348.0893551241884,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F29,1,15084.38028985641,1,15084.38028985641,15084.38028985641,0.0,1,0.0,0.0,15084.38028985641,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F3,1,0.0263681117289706,1,0.0263681117289706,0.0263681117289706,0.0,1,0.0,0.0,0.0263681117289706,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F30,1,12626.840949363248,1,12626.840949363248,12626.840949363248,0.0,1,0.0,0.0,12626.840949363248,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F4,1,31.829047452510054,1,31.829047452510054,31.829047452510054,0.0,1,0.0,0.0,31.829047452510054,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F5,1,55.46488147848811,1,55.46488147848811,55.46488147848811,0.0,1,0.0,0.0,55.46488147848811,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F6,1,4.26237546662378e-05,1,4.26237546662378e-05,4.26237546662378e-05,0.0,1,0.0,0.0,4.26237546662378e-05,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F7,1,87.93984111359873,1,87.93984111359873,87.93984111359873,0.0,1,0.0,0.0,87.93984111359873,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F8,1,84.07827951684874,1,84.07827951684874,84.07827951684874,0.0,1,0.0,0.0,84.07827951684874,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F9,1,0.0311273768679711,1,0.0311273768679711,0.0311273768679711,0.0,1,0.0,0.0,0.0311273768679711,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F1,1,1.4210854715202004e-14,1,1.4210854715202004e-14,1.4210854715202004e-14,0.0,1,0.0,0.0,1.4210854715202004e-14,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F10,1,-7863.286602025895,1,-7863.286602025895,-7863.286602025895,0.0,1,0.0,0.0,-7863.286602025895,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F11,1,11.889733678112862,1,11.889733678112862,11.889733678112862,0.0,1,0.0,0.0,11.889733678112862,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F12,1,1260.735461614524,1,1260.735461614524,1260.735461614524,0.0,1,0.0,0.0,1260.735461614524,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F13,1,23.54720518775184,1,23.54720518775184,23.54720518775184,0.0,1,0.0,0.0,23.54720518775184,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F14,1,31.04627850307793,1,31.04627850307793,31.04627850307793,0.0,1,0.0,0.0,31.04627850307793,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F15,1,70.39104176372166,1,70.39104176372166,70.39104176372166,0.0,1,0.0,0.0,70.39104176372166,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F16,1,-879.6459081944337,1,-879.6459081944337,-879.6459081944337,0.0,1,0.0,0.0,-879.6459081944337,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F17,1,-137.05903938459073,1,-137.05903938459073,-137.05903938459073,0.0,1,0.0,0.0,-137.05903938459073,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F18,1,31.0775719153753,1,31.0775719153753,31.0775719153753,0.0,1,0.0,0.0,31.0775719153753,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F19,1,6.198943170666553,1,6.198943170666553,6.198943170666553,0.0,1,0.0,0.0,6.198943170666553,0.0
