source_file,Algorithm,Function,__rows,RestartIndex__sum,RestartIndex__count,RestartIter__sum,RestartIter__count,RestartRatio__sum,RestartRatio__count,RestartSigma__sum,RestartSigma__count,RestartInefficiencyScore__sum,RestartInefficiencyScore__count,RestartIndex__min,RestartIter__min,RestartRatio__min,RestartSigma__min,RestartInefficiencyScore__min,RestartIndex__max,RestartIter__max,RestartRatio__max,RestartSigma__max,RestartInefficiencyScore__max,RestartIndex__mean,RestartIter__mean,RestartRatio__mean,RestartSigma__mean,RestartInefficiencyScore__mean
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F8,1812,56552,1812,8356328,1812,296.81239687328446,1812,6472.753914203824,1812,,0,1,2699,0.0513992622767816,0.4,,73,5996,0.1798786219136672,8.059830736358801,,31.20971302428256,4611.6600441501105,0.16380375103382144,3.5721599968012274,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F9,2220,83250,2220,9638290,2220,391.8300488952507,2220,10772.672122357273,2220,,0,1,2699,0.0734594216724559,0.4,,74,5992,0.1799941211725748,9.845726015700649,,37.5,4341.572072072072,0.17650002202488768,4.8525550100708434,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F1,113,322,113,519165,113,11.3,113,269.6182363727288,113,,0,1,3299,0.1,0.6,,8,5982,0.1,4.500750125020837,,2.849557522123894,4594.380530973452,0.1,2.3860020917940603,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F10,265,1563,265,1222246,265,26.5,265,626.0930821803635,265,,0,1,3299,0.1,0.6,,20,5993,0.1,4.500750125020837,,5.89811320754717,4612.249056603773,0.1,2.3626154044542016,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F11,262,1568,262,1175299,262,26.200000000000003,262,669.2001000166695,262,,0,1,3299,0.1,0.6,,21,5996,0.1,4.500750125020837,,5.984732824427481,4485.874045801526,0.1,2.554198855025456,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F12,297,1903,297,1396296,297,29.700000000000003,297,655.3702283713952,297,,0,1,3299,0.1,0.6,,20,5990,0.1,4.500750125020837,,6.407407407407407,4701.333333333333,0.1,2.2066337655602535,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F13,191,1041,191,904673,191,19.1,191,410.25714285714287,191,,0,1,3299,0.1,0.6,,25,5968,0.1,4.500750125020837,,5.450261780104712,4736.507853403142,0.1,2.1479431563201197,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F14,487,4623,487,2277138,487,48.7,487,1094.5940656776131,487,,0,1,3299,0.1,0.6,,29,5998,0.1,4.500750125020837,,9.492813141683778,4675.848049281314,0.1,2.247626418229185,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F15,266,1743,266,1225927,266,26.6,266,626.2076346057677,266,,0,1,3299,0.1,0.6,,21,5978,0.1,4.500750125020837,,6.552631578947368,4608.748120300752,0.1,2.354164039871307,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F16,249,2308,249,1155734,249,24.900000000000002,249,571.269178196366,249,,0,1,3299,0.1,0.6,,31,5986,0.1,4.500750125020837,,9.269076305220883,4641.502008032128,0.1,2.2942537276962494,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F17,338,2384,338,1540747,338,33.800000000000004,338,828.2513752292049,338,,0,1,3299,0.1,0.6,,20,5990,0.1,4.500750125020837,,7.053254437869822,4558.423076923077,0.10000000000000002,2.450447855707707,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F18,449,3699,449,2089880,449,44.900000000000006,449,1026.098049674946,449,,0,1,3299,0.1,0.6,,20,5998,0.1,4.500750125020837,,8.238307349665924,4654.521158129176,0.10000000000000002,2.285296324443087,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F19,377,3906,377,1736944,377,37.7,377,888.700183363894,377,,0,1,3299,0.1,0.6,,34,5996,0.1,4.500750125020837,,10.360742705570292,4607.278514588859,0.1,2.3572949160845993,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F20,600,6971,600,2769570,600,60.0,600,1407.2786131021837,600,,0,1,3299,0.1,0.6,,31,5994,0.1,4.500750125020837,,11.618333333333334,4615.95,0.1,2.3454643551703063,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F21,379,4106,379,1765567,379,37.9,379,860.5140190031673,379,,0,1,3299,0.1,0.6,,33,5995,0.1,4.500750125020837,,10.83377308707124,4658.488126649077,0.09999999999999999,2.2704855382669322,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F22,101,324,101,485105,101,10.100000000000001,101,204.96786131021838,101,,0,1,3299,0.1,0.6,,9,5966,0.1,4.500750125020837,,3.207920792079208,4803.019801980198,0.10000000000000002,2.029384765447707,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F23,159,993,159,765663,159,15.9,159,321.78239706617774,159,,0,1,3299,0.1,0.6,,24,5995,0.1,4.500750125020837,,6.245283018867925,4815.490566037736,0.1,2.0237886607935707,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F24,113,722,113,523547,113,11.3,113,263.6588098016336,113,,0,1,3299,0.1,0.6,,32,5998,0.1,4.500750125020837,,6.389380530973451,4633.159292035398,0.1,2.3332638035542796,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F25,174,676,174,829321,174,17.400000000000002,174,364.33978996499417,174,,0,1,3299,0.1,0.6,,11,5987,0.1,4.500750125020837,,3.8850574712643677,4766.212643678161,0.1,2.0939068388792768,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F26,255,1921,255,1156953,255,25.5,255,630.3822637106185,255,,0,1,3299,0.1,0.6,,26,5992,0.1,4.500750125020837,,7.533333333333333,4537.070588235294,0.1,2.472087308669092,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F27,254,1837,254,1144008,254,25.400000000000002,254,638.4560760126689,254,,0,1,3299,0.1,0.6,,28,5989,0.1,4.500750125020837,,7.232283464566929,4503.968503937008,0.1,2.513606598475074,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F28,74,163,74,327780,74,7.4,74,194.2935489248208,74,,0,1,3299,0.1,0.6,,7,5837,0.1,4.500750125020837,,2.2027027027027026,4429.459459459459,0.1,2.625588498984065,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,PSO-RS,CEC2017-F29,150,609,150,693493,150,15.0,150,350.26911151858644,150,,0,1,3299,0.1,0.6,,15,5977,0.1,4.500750125020837,,4.06,4623.286666666667,0.1,2.3351274101239095,
