source_file,Algorithm,Function,__rows,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,StdRestart__sum,StdRestart__count,StdRestart__min,StdRestart__max,MaxRestart__sum,MaxRestart__count,MaxRestart__min,MaxRestart__max,MinRestart__sum,MinRestart__count,MinRestart__min,MinRestart__max,AvgRestart__mean,StdRestart__mean,MaxRestart__mean,MinRestart__mean
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F28,1,72.46666666666667,1,72.46666666666667,72.46666666666667,5.250506270061395,1,5.250506270061395,5.250506270061395,74,1,74,74,45,1,45,45,72.46666666666667,5.250506270061395,74.0,45.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F29,1,53.5,1,53.5,53.5,29.869543939812903,1,29.869543939812903,29.869543939812903,74,1,74,74,0,1,0,0,53.5,29.869543939812903,74.0,0.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F3,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F30,1,68.96666666666667,1,68.96666666666667,68.96666666666667,17.45434109293461,1,17.45434109293461,17.45434109293461,74,1,74,74,1,1,1,1,68.96666666666667,17.45434109293461,74.0,1.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F4,1,71.5,1,71.5,71.5,13.31773512897434,1,13.31773512897434,13.31773512897434,74,1,74,74,1,1,1,1,71.5,13.31773512897434,74.0,1.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F5,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F6,1,68.73333333333333,1,68.73333333333333,68.73333333333333,11.383391814191516,1,11.383391814191516,11.383391814191516,74,1,74,74,31,1,31,31,68.73333333333333,11.383391814191516,74.0,31.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F7,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F8,1,59.63333333333333,1,59.63333333333333,59.63333333333333,7.355426490053089,1,7.355426490053089,7.355426490053089,73,1,73,73,42,1,42,42,59.63333333333333,7.355426490053089,73.0,42.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F9,1,73.96666666666667,1,73.96666666666667,73.96666666666667,0.182574185835056,1,0.182574185835056,0.182574185835056,74,1,74,74,73,1,73,73,73.96666666666667,0.182574185835056,74.0,73.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F1,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
