source_file,Algorithm,FunctionID,Function,__rows,BestFitness__sum,BestFitness__count,BestFitness__min,BestFitness__max,BestError__sum,BestError__count,BestError__min,BestError__max,RestartCount__sum,RestartCount__count,RestartCount__min,RestartCount__max,RestartedParticlesTotal__sum,RestartedParticlesTotal__count,RestartedParticlesTotal__min,RestartedParticlesTotal__max,Runtime__sum,Runtime__count,Runtime__min,Runtime__max,FEs__sum,FEs__count,FEs__min,FEs__max,BestFitness__mean,BestError__mean,RestartCount__mean,RestartedParticlesTotal__mean,Runtime__mean,FEs__mean
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,4,F4,30,16702.863458269305,30,501.4852874128672,609.1487706980449,4702.863458269306,30,101.48528741286714,209.14877069804493,50827,30,1660,1725,508270,30,16600,17250,316.3402199745178,30,9.52087950706482,12.28003716468811,9000000,30,300000,300000,556.7621152756435,156.76211527564354,1694.2333333333333,16942.333333333332,10.544673999150595,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,5,F5,30,15000.004338706578,30,500.00000000943743,500.0012817006714,0.004338706578152668,30,9.43742861636565e-09,0.0012817006714271,48524,30,1505,1685,485240,30,15050,16850,1825.1059424877167,30,55.15015006065369,66.65992879867554,9000000,30,300000,300000,500.0001446235526,0.0001446235526050889,1617.4666666666667,16174.666666666666,60.83686474959055,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,6,F6,30,25090.534208866527,30,730.44944319567,990.9745049104262,7090.5342088665275,30,130.44944319567003,390.97450491042616,50215,30,1650,1695,502150,30,16500,16950,687.2822844982147,30,17.90560030937195,29.542861700057983,9000000,30,300000,300000,836.3511402955509,236.35114029555092,1673.8333333333333,16738.333333333332,22.909409483273823,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,7,F7,30,26396.001766509926,30,804.0,1064.001766509925,5396.001766509925,30,104.0,364.0017665099247,57747,30,1614,2161,577470,30,16140,21610,1301.9601066112518,30,37.30720734596253,48.88514804840088,9000000,30,300000,300000,879.8667255503309,179.86672555033084,1924.9,19249.0,43.39867022037506,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,8,F8,30,24063.798830861564,30,800.0000000016382,807.5065513871469,63.79883086156417,30,1.638227331568487e-09,7.506551387146942,51579,30,1660,1771,515790,30,16600,17710,592.4927949905396,30,17.730749368667603,23.331563711166385,9000000,30,300000,300000,802.1266276953854,2.1266276953854724,1719.3,17193.0,19.749759833017986,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,9,F9,30,-79469.77275222362,30,-5391.626111602844,-999.7426388386612,0.0,30,0.0,0.0,51145,30,1430,2097,511450,30,14300,20970,1217.5060110092163,30,36.56910490989685,48.09915709495544,9000000,30,300000,300000,-2648.992425074121,0.0,1704.8333333333333,17048.333333333332,40.58353370030721,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,10,F10,30,775704.5166937512,30,1777.0829850556893,75259.31305823359,745704.5166937512,30,777.0829850556893,74259.31305823359,40773,30,1228,1622,407730,30,12280,16220,794.1559145450592,30,23.945762634277344,32.46181321144104,9000000,30,300000,300000,25856.81722312504,24856.81722312504,1359.1,13591.0,26.47186381816864,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,11,F11,30,167614917.430085,30,14878.357911881958,52804810.155879386,167581917.430085,30,13778.357911881958,52803710.155879386,51539,30,1651,1853,515390,30,16510,18530,1659.7914946079254,30,45.02992129325867,67.22786736488342,9000000,30,300000,300000,5587163.914336166,5586063.914336166,1717.9666666666667,17179.666666666668,55.32638315359751,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,12,F12,30,6695187.483336166,30,12173.613001777408,636662.8139304927,6659187.483336166,30,10973.613001777408,635462.8139304927,51607,30,1610,1900,516070,30,16100,19000,853.7173757553101,30,27.165361881256104,33.51727080345154,9000000,30,300000,300000,223172.91611120553,221972.91611120553,1720.2333333333333,17202.333333333332,28.457245858510337,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,13,F13,30,3083227.3584449044,30,10435.093228604914,246137.06544073025,3044227.3584449044,30,9135.093228604914,244837.06544073025,32234,30,863,1333,322340,30,8630,13330,1101.5509433746338,30,34.524131774902344,42.17475438117981,9000000,30,300000,300000,102774.24528149681,101474.24528149681,1074.4666666666667,10744.666666666666,36.71836477915446,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,14,F14,30,6760421.8233992625,30,38071.13071230796,1712148.313394724,6718421.8233992625,30,36671.13071230796,1710748.313394724,50565,30,1578,1841,505650,30,15780,18410,892.67924451828,30,27.41930294036865,33.63722348213196,9000000,30,300000,300000,225347.39411330875,223947.39411330875,1685.5,16855.0,29.755974817276,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,15,F15,30,187026.22676644314,30,1423.3268497109236,81610.15227657264,142102.89991673222,30,0.0,80110.15227657264,42652,30,981,1607,426520,30,9810,16070,2818.604527950287,30,91.4910032749176,95.63223671913148,9000000,30,300000,300000,6234.207558881438,4736.763330557741,1421.7333333333333,14217.333333333334,93.95348426500956,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,16,F16,30,85667.28285700899,30,1643.663359249438,3989.5840288327936,37667.282857009,30,43.66335924943815,2389.5840288327936,42036,30,1098,1757,420360,30,10980,17570,9110.174877166748,30,296.7185971736908,318.53399991989136,9000000,30,300000,300000,2855.576095233633,1255.5760952336334,1401.2,14012.0,303.67249590555826,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,17,F17,30,1808720.939917413,30,16604.066673881556,121694.03644785784,1757720.939917413,30,14904.066673881556,119994.03644785784,35928,30,1108,1298,359280,30,11080,12980,1166.7028563022614,30,36.09551692008972,50.105700731277466,9000000,30,300000,300000,60290.6979972471,58590.6979972471,1197.6,11976.0,38.89009521007538,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,18,F18,30,2291008.0215010666,30,2094.0000346981,260441.07016555185,2237008.0215010666,30,294.0000346981001,258641.07016555185,44066,30,1304,1573,440660,30,13040,15730,5062.122922897339,30,164.88971424102783,184.9133701324463,9000000,30,300000,300000,76366.93405003556,74566.93405003556,1468.8666666666666,14688.666666666666,168.73743076324462,300000.0
