Function,Algorithm,AvgRestart,StdRestart,MaxRestart,MinRestart
CEC2017-F7,ARPSO-EIS,74.0,0.0,74,74
CEC2017-F7,ARPSO-v4,74.0,0.0,74,74
CEC2017-F7,CLPSO,0.0,0.0,0,0
CEC2017-F7,DE,0.0,0.0,0,0
CEC2017-F7,GA,0.0,0.0,0,0
CEC2017-F7,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F7,PSO,0.0,0.0,0,0
CEC2017-F7,PSO-AW,0.0,0.0,0,0
CEC2017-F7,PSO-RS,8.833333333333334,5.742060986076001,25,1
CEC2017-F8,ARPSO-EIS,59.63333333333333,7.355426490053089,73,42
CEC2017-F8,ARPSO-v4,60.4,7.981011948627688,73,41
CEC2017-F8,CLPSO,0.0,0.0,0,0
CEC2017-F8,DE,0.0,0.0,0,0
CEC2017-F8,GA,0.0,0.0,0,0
CEC2017-F8,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F8,PSO,0.0,0.0,0,0
CEC2017-F8,PSO-AW,0.0,0.0,0,0
CEC2017-F8,PSO-RS,19.133333333333333,5.076880207733699,26,8
CEC2017-F9,ARPSO-EIS,73.96666666666667,0.182574185835056,74,73
CEC2017-F9,ARPSO-v4,74.0,0.0,74,74
CEC2017-F9,CLPSO,0.0,0.0,0,0
CEC2017-F9,DE,0.0,0.0,0,0
CEC2017-F9,GA,0.0,0.0,0,0
CEC2017-F9,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F9,PSO,0.0,0.0,0,0
CEC2017-F9,PSO-AW,0.0,0.0,0,0
CEC2017-F9,PSO-RS,6.6,3.244092774726777,15,1
