Function,Algorithm,Mean,Std,Best,Worst,Median,AvgRestart
CEC2017-F11,DE,331.17011203543285,454.2887058476909,11.889733678112862,1886.758173187764,106.38569546268776,0.0
CEC2017-F11,GA,11255.1995620689,5773.006188450754,2962.1688939882515,30756.09147583635,11104.62505180571,0.0
CEC2017-F11,HPSO-TVAC,32878.604801642985,27699.78863520584,650.1842645303816,99969.96847419965,27580.851770735597,0.0
CEC2017-F11,PSO,45659.51270707209,28181.94545711193,9044.335965326723,106057.04060106027,40657.28691773492,0.0
CEC2017-F11,PSO-AW,102253.4551030174,76741.52542927074,4265.656610672006,325526.8424347696,91920.25993667437,0.0
CEC2017-F11,PSO-RS,52445.35053572218,41319.5300275514,3732.878840302961,172065.14696092278,42758.22004506861,8.733333333333333
CEC2017-F12,ARPSO-EIS,1565669.2893103485,2258446.881369619,14691.485822977049,11097473.826629834,705774.1248503432,74.0
CEC2017-F12,ARPSO-v4,2031449.5374091368,3024958.131179168,3060.3639627661905,10845363.083325395,243039.93747142173,74.0
CEC2017-F12,CLPSO,258792.87739230736,89221.47287335111,84891.36693056293,432853.6351136681,267294.0867878733,0.0
CEC2017-F12,DE,3888.896838719232,2341.931091126912,1260.735461614524,11079.684187709096,2946.706552734812,0.0
CEC2017-F12,GA,1082651.0463464588,418529.6397598034,384727.4861125639,2339187.9636335056,990290.6582138092,0.0
CEC2017-F12,HPSO-TVAC,43922522.94479559,213303761.41422525,2004.890356057901,1166282516.506976,88411.93864337419,0.0
CEC2017-F12,PSO,66535581.42567863,223845458.0395369,6315.150474903435,1174491278.951887,343186.9633290621,0.0
CEC2017-F12,PSO-AW,116642009.09827591,295000161.0139659,9952.657954901648,1396792706.446625,585597.570389316,0.0
CEC2017-F12,PSO-RS,2518750.719934829,3880512.1800289913,10934.424648491264,13766593.994589448,366154.3065831006,9.9
CEC2017-F13,ARPSO-EIS,181140.3472347241,131139.37269490783,25388.15974673898,377552.43450753775,186471.16722022693,73.6
CEC2017-F13,ARPSO-v4,220319.92803294124,124625.00850031244,45880.187502295004,409082.6798782605,228642.67240514143,74.0
CEC2017-F13,CLPSO,11076.23799670089,5955.180017219371,2675.393994976805,28132.593177822364,9916.407337877086,0.0
CEC2017-F13,DE,2905.2390232406165,3505.519042852706,23.54720518775184,14420.301099010258,1445.7347085696192,0.0
CEC2017-F13,GA,32522.40517548697,14125.259475797731,9123.890179134663,71718.2709832888,29787.53310820093,0.0
CEC2017-F13,HPSO-TVAC,2119269.5500959265,10929031.079358269,4510.538324986692,59979034.74997565,41891.73666158038,0.0
CEC2017-F13,PSO,28941828.325710468,70132146.93428916,3486.9496554027346,354501856.5457009,289986.7446944384,0.0
CEC2017-F13,PSO-AW,60186345.41706725,191313925.21566808,18024.70632759741,1046041853.067402,407636.458038308,0.0
CEC2017-F13,PSO-RS,420442.72655813646,1187463.6809192027,8416.60032660867,6653833.337201964,214330.0092282982,6.366666666666666
CEC2017-F14,ARPSO-EIS,95897.15619721338,72721.33158901615,3007.879370458064,294757.5376818868,73559.01678748961,41.66666666666666
CEC2017-F14,ARPSO-v4,75980.6507347247,70232.23457996712,3237.584051070251,339116.7755285278,55080.00601816864,50.3
CEC2017-F14,CLPSO,101806.43068962124,76794.64344545372,6211.281215037693,404167.35082254,89849.03974588221,0.0
CEC2017-F14,DE,1321.697882695105,3568.8254983226675,31.04627850307793,15095.629795947028,165.51167726781296,0.0
CEC2017-F14,GA,76121.20583788319,52754.445397841926,10666.30749234728,199458.24815997333,60109.06485138782,0.0
