source_file,Algorithm,Function,__rows,BestValue__sum,BestValue__count,BestValue__min,BestValue__max,RestartCount__sum,RestartCount__count,RestartCount__min,RestartCount__max,RuntimeSeconds__sum,RuntimeSeconds__count,RuntimeSeconds__min,RuntimeSeconds__max,BestValue__mean,RestartCount__mean,RuntimeSeconds__mean
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F26,30,25341.778225927734,30,825.7158784680364,875.0114967223581,2220,30,74,74,7156.027875700005,30,226.97529449999277,263.36680879999767,844.7259408642578,74.0,238.5342625233335
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F27,30,15615.709475346639,30,466.3888365833645,623.2678575987388,2220,30,74,74,6565.360947399968,30,215.89392309999675,222.42272950000188,520.5236491782213,74.0,218.84536491333225
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F28,30,3871.284330557472,30,1.3642420526593924e-12,466.2704604665733,2174,30,45,74,6512.763130399835,30,213.3818219999957,223.02455239999108,129.0428110185824,72.46666666666667,217.09210434666116
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F29,30,875814.5017237804,30,2803.5668698045547,224278.9363953511,1605,30,0,74,7414.70181310011,30,240.8740286999964,250.9537977,29193.816724126013,53.5,247.15672710333698
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F3,30,2.103206497849897e-12,30,5.684341886080803e-14,1.1368683772161605e-13,2220,30,74,74,180.88351340000008,30,5.6529336999992665,6.431909099999757,7.010688326166323e-14,74.0,6.02945044666667
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F30,30,11391084.363605728,30,2910.6730754948985,6263687.276468348,2069,30,1,74,4941.363858400087,30,140.4021470999869,207.87966959999176,379702.81212019094,68.96666666666667,164.71212861333623
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F4,30,1079.279907619628,30,2.79185535322722,88.28002363630213,2145,30,1,74,240.6013879999955,30,7.550296000001254,8.603160400001798,35.97599692065426,71.5,8.020046266666517
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F5,30,3172.0532159785334,30,61.68733037473555,185.0611744993828,2220,30,74,74,183.18854919999285,30,5.8508767999992415,6.472843999999896,105.73510719928444,74.0,6.106284973333095
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F6,30,0.0028715085068137395,30,4.3621639633784065e-10,0.0005158027997822,2062,30,31,74,1096.7641371999925,30,35.94929509999929,37.482386899999256,9.571695022712465e-05,68.73333333333333,36.558804573333084
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F7,30,5097.268343877425,30,111.29282686680632,218.07035067218223,2220,30,74,74,356.1404031999955,30,11.46175040000162,12.339555099999416,169.90894479591415,74.0,11.871346773333183
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F8,30,4582.500000006414,30,74.0,302.00000000641376,1789,30,42,73,759.8712674999988,30,23.812712500002817,29.27274469999975,152.7500000002138,59.63333333333333,25.32904224999996
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F9,30,46.854081638986486,30,3.410605131648481e-13,5.633479293895562,2219,30,73,74,369.43239419999736,30,11.627785099997707,13.579666600002383,1.5618027212995496,73.96666666666667,12.314413139999912
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F1,30,193282.35658466333,30,41.41085539802228,20841.76710091616,2220,30,74,74,117.3165531000086,30,3.3789403999981005,4.9652986000000965,6442.745219488777,74.0,3.910551770000287
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F10,30,-103761.26149768812,30,-5376.912211477142,-970.5554115925806,922,30,1,55,738.8257521000123,30,23.356400299999223,27.65749080000387,-3458.7087165896037,30.733333333333334,24.62752507000041
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F11,30,503225.48744403,30,352.5295026247986,81251.52224964031,2102,30,38,74,540.3711194000061,30,17.34224570000515,18.98167299999477,16774.182914801,70.06666666666666,18.01237064666687
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F12,30,60943486.1222741,30,3060.3639627661905,10845363.083325395,2220,30,74,74,1050.6546731000053,30,33.14496910000162,37.32124920000206,2031449.5374091368,74.0,35.021822436666845
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F13,30,6609597.840988237,30,45880.187502295004,409082.6798782605,2220,30,74,74,550.2948657999805,30,17.650096599994868,19.688914500002284,220319.92803294124,74.0,18.34316219333268
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F14,30,2279419.522041741,30,3237.584051070251,339116.7755285278,1509,30,25,71,738.769889799958,30,23.19615049999993,29.83466190000036,75980.6507347247,50.3,24.625662993331936
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F15,30,2765525.7665372486,30,26270.35653329314,160258.62283443857,2192,30,57,74,543.4919288000092,30,17.07774220000283,19.49911340000108,92184.19221790829,73.06666666666666,18.116397626666974
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F16,30,45941.21559121671,30,-352.7254933140798,20592.968244505708,2141,30,52,74,2215.20239959997,30,62.67424709999614,77.30318039999838,1531.373853040557,71.36666666666666,73.84007998666566
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F17,30,13442.400816547179,30,-204.6045902141659,1734.3515931879306,1860,30,7,74,5004.44181199999,30,163.30431719999615,171.68324479999865,448.0800272182393,62.0,166.81472706666634
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F18,30,1012618.7083403642,30,9624.89075847706,97919.26692480136,886,30,3,59,585.2261717000074,30,18.58967670000129,20.528417000001355,33753.95694467881,29.533333333333335,19.507539056666914
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F19,30,2198363.0582402116,30,14575.753132992606,209899.5421051983,2209,30,72,74,2798.35149489998,30,91.65100589999928,94.76361069999984,73278.76860800706,73.63333333333334,93.27838316333266
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F20,30,1395.3422983123687,30,-429.4888697712481,899.3604468788812,2202,30,67,74,5570.15698020003,30,182.03672260000891,190.3125088000088,46.511409943745626,73.4,185.671899340001
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F21,30,8312.541022076839,30,100.00000000000092,387.3208641938022,2220,30,74,74,836.2184997999575,30,26.902871799989956,28.94351719999395,277.0847007358946,74.0,27.873949993331916
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F22,30,-125662.52475779172,30,-6857.666524371774,-272.34663437959966,1704,30,38,74,1237.009221299988,30,39.73025790000975,42.13447720000113,-4188.750825259724,56.8,41.2336407099996
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F23,30,8163.613153289993,30,100.00000000000227,794.3994494004774,2210,30,73,74,1503.599204000042,30,48.52855050000653,51.44270410000172,272.1204384429997,73.66666666666667,50.119973466668064
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F24,30,6846.320092104173,30,200.00000000000043,443.90213592651344,2208,30,72,74,1542.8080630999466,30,46.48003299999982,65.59708169999067,228.21066973680578,73.6,51.426935436664884
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F25,30,12719.859191015874,30,420.9947798452727,443.167120321355,2220,30,74,74,1703.7253912999877,30,52.939067900006194,60.81021359999431,423.9953063671958,74.0,56.79084637666626
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F26,30,25290.53946206998,30,825.7475889075617,875.4242660312575,2220,30,74,74,7104.316197599968,30,223.18562389998988,253.31386620001285,843.0179820689993,74.0,236.81053991999894
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F27,30,16163.691126051952,30,491.88255274733,635.4536876579009,2220,30,74,74,6570.328092099982,30,215.41367080000052,222.32060210000785,538.7897042017318,74.0,219.01093640333275
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F28,30,3973.5485193079135,30,1.3642420526593924e-12,486.6557125513691,2173,30,46,74,6512.217722600064,30,213.73409080001875,221.82417609999536,132.45161731026377,72.43333333333334,217.0739240866688
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F29,30,572926.8176733832,30,2257.9489370584342,114956.56122339168,1831,30,0,74,7632.177425200003,30,238.64460719999624,318.6104306000052,19097.56058911277,61.03333333333333,254.40591417333343
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F3,30,2.273736754432321e-12,30,5.684341886080803e-14,1.1368683772161605e-13,2220,30,74,74,172.99369379999916,30,5.3950965000003634,6.362030899999809,7.579122514774403e-14,74.0,5.766456459999972
