source_file,Algorithm,FunctionID,Function,CurveBin,__rows,BestFitness__min,BestError__min,BestFitness__max,BestError__max
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,5,F5,59,90,500.0003549960472,0.0003549960472355,500.0070998231037,0.0070998231037151
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,5,F5,60,150,500.00006655080045,6.655080045447903e-05,500.0060305622155,0.0060305622155283
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,5,F5,61,150,500.0000036091572,3.609157204209623e-06,500.0025022935315,0.0025022935315064
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,5,F5,62,180,500.0000005962653,5.962652380731015e-07,500.0019453811461,0.0019453811461289
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,5,F5,63,240,500.0000001938572,1.938571472237527e-07,500.0013263264228,0.0013263264227703
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,5,F5,64,270,500.0000001215,1.214999656440341e-07,500.00078045126907,0.0007804512690654
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,5,F5,65,235,500.0000001012833,1.0128331950909343e-07,500.00061237948734,0.000612379487336
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,44,30,172929.60462758108,172329.60462758108,606063.8504285142,605463.8504285142
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,48,30,151632.03163981918,151032.03163981918,523735.8863988975,523135.8863988975
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,50,30,142587.7266085114,141987.7266085114,494576.7033833613,493976.7033833613
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,51,30,126863.6736171818,126263.6736171818,392434.2024275312,391834.2024275312
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,52,30,121766.04655869569,121166.04655869569,348299.0668093976,347699.0668093976
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,53,30,102036.554353773,101436.554353773,234495.1136944384,233895.1136944384
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,54,30,96518.84226526326,95918.84226526326,233534.516568904,232934.516568904
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,55,60,71620.96327462094,71020.96327462094,219506.8891776885,218906.8891776885
