source_file,Algorithm,FunctionID,Function,__rows,MeanError__sum,MeanError__count,MeanError__min,MeanError__max,StdError__sum,StdError__count,StdError__min,StdError__max,MedianError__sum,MedianError__count,MedianError__min,MedianError__max,BestError__sum,BestError__count,BestError__min,BestError__max,WorstError__sum,WorstError__count,WorstError__min,WorstError__max,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,AvgRuntime__sum,AvgRuntime__count,AvgRuntime__min,AvgRuntime__max,MeanError__mean,StdError__mean,MedianError__mean,BestError__mean,WorstError__mean,AvgRestart__mean,AvgRuntime__mean
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,4,F4,1,156.76211527564354,1,156.76211527564354,156.76211527564354,29.633778859172654,1,29.633778859172654,29.633778859172654,154.69326649148422,1,154.69326649148422,154.69326649148422,101.48528741286714,1,101.48528741286714,101.48528741286714,209.14877069804493,1,209.14877069804493,209.14877069804493,1694.2333333333331,1,1694.2333333333331,1694.2333333333331,10.544673999150596,1,10.544673999150596,10.544673999150596,156.76211527564354,29.633778859172654,154.69326649148422,101.48528741286714,209.14877069804493,1694.2333333333331,10.544673999150596
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,5,F5,1,0.0001446235526051,1,0.0001446235526051,0.0001446235526051,0.0002787745521364,1,0.0002787745521364,0.0002787745521364,1.9447998624855245e-05,1,1.9447998624855245e-05,1.9447998624855245e-05,9.43742861636565e-09,1,9.43742861636565e-09,9.43742861636565e-09,0.0012817006714271,1,0.0012817006714271,0.0012817006714271,1617.4666666666667,1,1617.4666666666667,1617.4666666666667,60.83686474959055,1,60.83686474959055,60.83686474959055,0.0001446235526051,0.0002787745521364,1.9447998624855245e-05,9.43742861636565e-09,0.0012817006714271,1617.4666666666667,60.83686474959055
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,6,F6,1,236.3511402955509,1,236.3511402955509,236.3511402955509,62.16797180067952,1,62.16797180067952,62.16797180067952,235.02490329721456,1,235.02490329721456,235.02490329721456,130.44944319567003,1,130.44944319567003,130.44944319567003,390.97450491042616,1,390.97450491042616,390.97450491042616,1673.8333333333333,1,1673.8333333333333,1673.8333333333333,22.909409483273823,1,22.909409483273823,22.909409483273823,236.3511402955509,62.16797180067952,235.02490329721456,130.44944319567003,390.97450491042616,1673.8333333333333,22.909409483273823
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,7,F7,1,179.86672555033084,1,179.86672555033084,179.86672555033084,52.24086035107821,1,52.24086035107821,52.24086035107821,171.0,1,171.0,171.0,104.0,1,104.0,104.0,364.0017665099247,1,364.0017665099247,364.0017665099247,1924.9,1,1924.9,1924.9,43.39867022037506,1,43.39867022037506,43.39867022037506,179.86672555033084,52.24086035107821,171.0,104.0,364.0017665099247,1924.9,43.39867022037506
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,8,F8,1,2.1266276953854724,1,2.1266276953854724,2.1266276953854724,1.9744080922130085,1,1.9744080922130085,1.9744080922130085,1.2187024926024606,1,1.2187024926024606,1.2187024926024606,1.638227331568487e-09,1,1.638227331568487e-09,1.638227331568487e-09,7.506551387146942,1,7.506551387146942,7.506551387146942,1719.3,1,1719.3,1719.3,19.749759833017983,1,19.749759833017983,19.749759833017983,2.1266276953854724,1.9744080922130085,1.2187024926024606,1.638227331568487e-09,7.506551387146942,1719.3,19.749759833017983
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,9,F9,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1704.8333333333333,1,1704.8333333333333,1704.8333333333333,40.58353370030721,1,40.58353370030721,40.58353370030721,0.0,0.0,0.0,0.0,0.0,1704.8333333333333,40.58353370030721
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,10,F10,1,24856.81722312504,1,24856.81722312504,24856.81722312504,23662.124219707548,1,23662.124219707548,23662.124219707548,14237.378475672822,1,14237.378475672822,14237.378475672822,777.0829850556893,1,777.0829850556893,777.0829850556893,74259.31305823359,1,74259.31305823359,74259.31305823359,1359.1,1,1359.1,1359.1,26.47186381816864,1,26.47186381816864,26.47186381816864,24856.81722312504,23662.124219707548,14237.378475672822,777.0829850556893,74259.31305823359,1359.1,26.47186381816864
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,11,F11,1,5586063.914336166,1,5586063.914336166,5586063.914336166,10887037.08388895,1,10887037.08388895,10887037.08388895,716255.0166572488,1,716255.0166572488,716255.0166572488,13778.357911881958,1,13778.357911881958,13778.357911881958,52803710.155879386,1,52803710.155879386,52803710.155879386,1717.9666666666667,1,1717.9666666666667,1717.9666666666667,55.32638315359751,1,55.32638315359751,55.32638315359751,5586063.914336166,10887037.08388895,716255.0166572488,13778.357911881958,52803710.155879386,1717.9666666666667,55.32638315359751
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,12,F12,1,221972.91611120556,1,221972.91611120556,221972.91611120556,185047.897332642,1,185047.897332642,185047.897332642,192623.64123552968,1,192623.64123552968,192623.64123552968,10973.613001777408,1,10973.613001777408,10973.613001777408,635462.8139304927,1,635462.8139304927,635462.8139304927,1720.2333333333331,1,1720.2333333333331,1720.2333333333331,28.457245858510337,1,28.457245858510337,28.457245858510337,221972.91611120556,185047.897332642,192623.64123552968,10973.613001777408,635462.8139304927,1720.2333333333331,28.457245858510337
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,13,F13,1,101474.2452814968,1,101474.2452814968,101474.2452814968,65104.40167141624,1,65104.40167141624,65104.40167141624,87452.06453403224,1,87452.06453403224,87452.06453403224,9135.093228604914,1,9135.093228604914,9135.093228604914,244837.06544073025,1,244837.06544073025,244837.06544073025,1074.4666666666667,1,1074.4666666666667,1074.4666666666667,36.71836477915446,1,36.71836477915446,36.71836477915446,101474.2452814968,65104.40167141624,87452.06453403224,9135.093228604914,244837.06544073025,1074.4666666666667,36.71836477915446
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,14,F14,1,223947.39411330875,1,223947.39411330875,223947.39411330875,337154.9513419993,1,337154.9513419993,337154.9513419993,104035.22458760426,1,104035.22458760426,104035.22458760426,36671.13071230796,1,36671.13071230796,36671.13071230796,1710748.313394724,1,1710748.313394724,1710748.313394724,1685.5,1,1685.5,1685.5,29.755974817276,1,29.755974817276,29.755974817276,223947.39411330875,337154.9513419993,104035.22458760426,36671.13071230796,1710748.313394724,1685.5,29.755974817276
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,15,F15,1,4736.763330557741,1,4736.763330557741,4736.763330557741,14426.599263205517,1,14426.599263205517,14426.599263205517,1221.3988506708347,1,1221.3988506708347,1221.3988506708347,0.0,1,0.0,0.0,80110.15227657264,1,80110.15227657264,80110.15227657264,1421.7333333333331,1,1421.7333333333331,1421.7333333333331,93.95348426500956,1,93.95348426500956,93.95348426500956,4736.763330557741,14426.599263205517,1221.3988506708347,0.0,80110.15227657264,1421.7333333333331,93.95348426500956
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,16,F16,1,1255.5760952336334,1,1255.5760952336334,1255.5760952336334,548.4851735647542,1,548.4851735647542,548.4851735647542,1115.3397822035638,1,1115.3397822035638,1115.3397822035638,43.66335924943815,1,43.66335924943815,43.66335924943815,2389.5840288327936,1,2389.5840288327936,2389.5840288327936,1401.2,1,1401.2,1401.2,303.67249590555826,1,303.67249590555826,303.67249590555826,1255.5760952336334,548.4851735647542,1115.3397822035638,43.66335924943815,2389.5840288327936,1401.2,303.67249590555826
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,17,F17,1,58590.6979972471,1,58590.6979972471,58590.6979972471,26699.27405259419,1,26699.27405259419,26699.27405259419,58027.570893685326,1,58027.570893685326,58027.570893685326,14904.066673881556,1,14904.066673881556,14904.066673881556,119994.03644785784,1,119994.03644785784,119994.03644785784,1197.6,1,1197.6,1197.6,38.89009521007538,1,38.89009521007538,38.89009521007538,58590.6979972471,26699.27405259419,58027.570893685326,14904.066673881556,119994.03644785784,1197.6,38.89009521007538
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,18,F18,1,74566.93405003556,1,74566.93405003556,74566.93405003556,64757.29491428287,1,64757.29491428287,64757.29491428287,57498.70806038847,1,57498.70806038847,57498.70806038847,294.0000346981001,1,294.0000346981001,294.0000346981001,258641.07016555185,1,258641.07016555185,258641.07016555185,1468.8666666666666,1,1468.8666666666666,1468.8666666666666,168.73743076324462,1,168.73743076324462,168.73743076324462,74566.93405003556,64757.29491428287,57498.70806038847,294.0000346981001,258641.07016555185,1468.8666666666666,168.73743076324462
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-Fixed,19,F19,1,124.2252706224944,1,124.2252706224944,124.2252706224944,184.5834690362478,1,184.5834690362478,184.5834690362478,0.0,1,0.0,0.0,0.0,1,0.0,0.0,804.172694465201,1,804.172694465201,804.172694465201,1336.1666666666667,1,1336.1666666666667,1336.1666666666667,309.7639034350713,1,309.7639034350713,309.7639034350713,124.2252706224944,184.5834690362478,0.0,0.0,804.172694465201,1336.1666666666667,309.7639034350713
