source_file,Algorithm,FunctionID,__rows,MeanError__sum,MeanError__count,MeanError__min,MeanError__max,Rank__sum,Rank__count,Rank__min,Rank__max,MeanError__mean,Rank__mean
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,15,1,3364.600634650197,1,3364.600634650197,3364.600634650197,2.0,1,2.0,2.0,3364.600634650197,2.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,1,1,8069684.897158904,1,8069684.897158904,8069684.897158904,6.0,1,6.0,6.0,8069684.897158904,6.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,3,1,59.73163613755878,1,59.73163613755878,59.73163613755878,5.0,1,5.0,5.0,59.73163613755878,5.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,4,1,182.8569007916164,1,182.8569007916164,182.8569007916164,5.0,1,5.0,5.0,182.8569007916164,5.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,5,1,3.615299784579085e-05,1,3.615299784579085e-05,3.615299784579085e-05,1.0,1,1.0,1.0,3.615299784579085e-05,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,6,1,798.3618748938483,1,798.3618748938483,798.3618748938483,6.0,1,6.0,6.0,798.3618748938483,6.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,7,1,183.31793586028695,1,183.31793586028695,183.31793586028695,6.0,1,6.0,6.0,183.31793586028695,6.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,8,1,2.5684796108293275,1,2.5684796108293275,2.5684796108293275,5.0,1,5.0,5.0,2.5684796108293275,5.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,9,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,10,1,34428.967911459564,1,34428.967911459564,34428.967911459564,5.0,1,5.0,5.0,34428.967911459564,5.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,11,1,3169093.3413447305,1,3169093.3413447305,3169093.3413447305,2.0,1,2.0,2.0,3169093.3413447305,2.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,12,1,436255.36787682207,1,436255.36787682207,436255.36787682207,6.0,1,6.0,6.0,436255.36787682207,6.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,13,1,86769.25160784372,1,86769.25160784372,86769.25160784372,1.0,1,1.0,1.0,86769.25160784372,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,14,1,170702.8895659117,1,170702.8895659117,170702.8895659117,3.0,1,3.0,3.0,170702.8895659117,3.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,PSO-RS,15,1,11253.044000597412,1,11253.044000597412,11253.044000597412,6.0,1,6.0,6.0,11253.044000597412,6.0
