source_file,Algorithm,FunctionID,Function,__rows,FE__sum,FE__count,RestartIndex__sum,RestartIndex__count,RestartedParticles__sum,RestartedParticles__count,RestartRatio__sum,RestartRatio__count,Diversity__sum,Diversity__count,Stagnation__sum,Stagnation__count,BestFitnessAfterRestart__sum,BestFitnessAfterRestart__count,BestErrorAfterRestart__sum,BestErrorAfterRestart__count,FE__min,RestartIndex__min,RestartedParticles__min,RestartRatio__min,Diversity__min,Stagnation__min,BestFitnessAfterRestart__min,BestErrorAfterRestart__min,FE__max,RestartIndex__max,RestartedParticles__max,RestartRatio__max,Diversity__max,Stagnation__max,BestFitnessAfterRestart__max,BestErrorAfterRestart__max,FE__mean,RestartIndex__mean,RestartedParticles__mean,RestartRatio__mean,Diversity__mean,Stagnation__mean,BestFitnessAfterRestart__mean,BestErrorAfterRestart__mean
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,5,F5,48524,10117670420,48524,39292367,48524,485240,48524,9704.800000000001,48524,2151.717756748808,48524,88584,48524,24262020.871897727,48524,20.871897726054257,48524,2660,1,10,0.2,0.0312362769281161,0,500.00000000943743,9.43742861636565e-09,300000,1685,10,0.2,0.1171846845359244,50,500.0467169300085,0.0467169300085288,208508.5817327508,809.7511952848075,10.0,0.2,0.04434337146048982,1.8255708515373836,500.00043013555614,0.0004301355561382874
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,6,F6,50215,10290474430,50215,42052358,50215,502150,50215,10043.0,50215,2193.484381087929,50215,83495,50215,373081159.25416636,50215,342952159.25416636,50215,3660,1,10,0.2,0.031671240985331,0,730.4520584611693,130.45205846116926,300000,1695,10,0.2,0.0861544162451037,50,822911.7926887082,822311.7926887082,204928.2969232301,837.446141591158,10.0,0.2,0.04368185564249585,1.6627501742507218,7429.675580088945,6829.675580088945
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,7,F7,57747,12914046570,57747,55900282,57747,577470,57747,11549.400000000001,57747,2502.4787671681547,57747,125280,57747,51374127.60218919,57747,10951227.602189189,57747,3110,1,10,0.2,0.0289685906186847,0,804.0,104.0,300000,2161,10,0.2,0.11097489424741,50,1339.6372553068925,639.6372553068925,223631.47124525948,968.0205378634388,10.0,0.20000000000000004,0.0433352168453453,2.1694633487453894,889.6414982975599,189.64149829755985
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,8,F8,51579,10664169730,51579,44377398,51579,515790,51579,10315.8,51579,2258.763365637853,51579,80636,51579,41382718.36267695,51579,119518.36267694505,51579,3810,1,10,0.2,0.0312145907963867,0,800.0000000016382,1.638227331568487e-09,300000,1771,10,0.2,0.1040201794691166,50,824.8271479459133,24.82714794591334,206754.1001182652,860.37724655383,10.0,0.19999999999999998,0.043792306280421356,1.5633494251536477,802.3171903812976,2.317190381297525
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,9,F9,51145,11502162200,51145,44029250,51145,511450,51145,10229.0,51145,2223.5197839527714,51145,105231,51145,-120839902.1620857,51145,2327875.2818669667,51145,2560,1,10,0.2,0.029485246065788,0,-5391.626111602844,0.0,300000,2097,10,0.2,0.1366659199950506,50,6320.97066764887,5420.97066764887,224893.18995014176,860.8710528888454,10.0,0.2,0.04347482224954094,2.057503177241177,-2362.6923875664424,45.515207388150685
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,10,F10,40773,8652493590,40773,27817129,40773,407730,40773,8154.6,40773,1865.5101880549441,40773,80761,40773,2868206334.701498,40773,2827433334.701498,40773,3360,1,10,0.2,0.0338649576780311,0,1777.2028081573897,777.2028081573897,300000,1622,10,0.2,0.1059959404268073,50,2019091.7029588963,2018091.7029588963,212211.35530866013,682.243862359895,10.0,0.2,0.04575356701873652,1.9807470630073822,70345.72718959846,69345.72718959846
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,11,F11,51539,10211941430,51539,44331383,51539,515390,51539,10307.800000000001,51539,2293.774240350911,51539,77276,51539,761832548319.4338,51539,761775855419.4338,51539,3260,1,10,0.2,0.0309780358211159,0,14879.409975909351,13779.409975909351,300000,1853,10,0.2,0.1027520973498646,50,1161761781.9943008,1161760681.9943008,198140.07702904596,860.1521760220415,10.0,0.2,0.04450560236618698,1.4993694095733328,14781671.12903692,14780571.12903692
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,12,F12,51607,10191983390,51607,44487284,51607,516070,51607,10321.400000000001,51607,2297.192511724892,51607,74873,51607,155794135021.94147,51607,155732206621.94147,51607,3960,1,10,0.2,0.0312356180842371,0,12173.617179839952,10973.617179839952,300000,1900,10,0.2,0.0986862466890579,50,494331746.3152689,494330546.3152689,197492.26635921485,862.0397232933517,10.0,0.20000000000000004,0.044513196111475035,1.4508303137171314,3018856.647779206,3017656.647779206
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,13,F13,32234,6870425370,32234,17466872,32234,322340,32234,6446.8,32234,1502.0338160253536,32234,82928,32234,5104552649.759687,32234,5062648449.759687,32234,2860,1,10,0.2,0.033924573502011,0,10435.14949134025,9135.14949134025,300000,1333,10,0.2,0.1152168092367625,50,8897076.655873362,8895776.655873362,213142.19054414594,541.8772724452441,10.0,0.2,0.04659781026324234,2.5726872246696035,158359.26815659512,157059.26815659512
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,14,F14,50565,10001593030,50565,42679578,50565,505650,50565,10113.0,50565,2272.0205494040024,50565,74644,50565,36697655321.08344,50565,36626864321.08344,50565,3560,1,10,0.2,0.0298277241244556,0,38071.25844791563,36671.25844791563,300000,1841,10,0.2,0.1039928774774606,50,193978048.44268444,193976648.44268444,197796.7572431524,844.0537525956689,10.0,0.2,0.04493267179677647,1.476198951844161,725752.1076057241,724352.1076057241
