source_file,Algorithm,FunctionID,Function,Run,__rows,FE__sum,FE__count,RestartIndex__sum,RestartIndex__count,RestartedParticles__sum,RestartedParticles__count,RestartRatio__sum,RestartRatio__count,Diversity__sum,Diversity__count,Stagnation__sum,Stagnation__count,BestFitnessAfterRestart__sum,BestFitnessAfterRestart__count,BestErrorAfterRestart__sum,BestErrorAfterRestart__count,FE__min,RestartIndex__min,RestartedParticles__min,RestartRatio__min,Diversity__min,Stagnation__min,BestFitnessAfterRestart__min,BestErrorAfterRestart__min,FE__max,RestartIndex__max,RestartedParticles__max,RestartRatio__max,Diversity__max,Stagnation__max,BestFitnessAfterRestart__max,BestErrorAfterRestart__max,FE__mean,RestartIndex__mean,RestartedParticles__mean,RestartRatio__mean,Diversity__mean,Stagnation__mean,BestFitnessAfterRestart__mean,BestErrorAfterRestart__mean
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,24,F24,25,2144,422166480,2144,2299440,2144,13800,2144,253.95722322279673,2144,94.95591889805287,2144,4302,2144,6055427.46875186,2144,909827.4687518593,2144,9360,1,5,0.0802601160092498,0.0343899818322339,0,2822.377383551528,422.3773835515276,300000,2144,10,0.1866666666666666,0.0884234259649417,50,3015.8453828776296,615.8453828776296,196906.00746268657,1072.5,6.436567164179104,0.1184501973986925,0.0442891412770769,2.0065298507462686,2824.3598268432183,424.35982684321795
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,24,F24,26,2167,425318123,2167,2349028,2167,13842,2167,254.23785778044243,2167,96.3130770377318,2167,4313,2167,6182440.570559158,2167,981640.5705591581,2167,9510,1,5,0.0801799485209647,0.0343919624871249,0,2845.3360160751527,445.3360160751527,299992,2167,10,0.1866666666666666,0.0870916121440216,50,3107.489839918022,707.489839918022,196270.47669589295,1084.0,6.387632671896632,0.11732250012941506,0.0444453516556215,1.9903091832025843,2852.995187152357,452.99518715235723
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,24,F24,27,2164,417949386,2164,2342530,2164,14232,2164,262.15260408366316,2164,94.83790034765322,2164,2869,2164,6156898.486963406,2164,963298.4869634064,2164,8910,1,5,0.0800686536944528,0.0331339665781423,0,2821.6500776584626,421.6500776584626,299982,2164,10,0.1879426138998892,0.0820313831312054,50,3350.9227280813507,950.9227280813508,193137.42421441776,1082.5,6.576709796672828,0.12114260817174823,0.04382527742497838,1.3257855822550833,2845.147175121722,445.147175121722
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,24,F24,28,2200,427999308,2200,2421100,2200,14208,2200,261.2532787548516,2200,97.31607775539725,2200,3999,2200,6218103.775785002,2200,938103.7757850019,2200,10260,1,5,0.0804922989499639,0.032825530301366,0,2824.3927495128946,424.3927495128946,299958,2200,10,0.1899166060712576,0.0853600782598557,50,2988.281061069971,588.2810610699712,194545.14,1100.5,6.458181818181818,0.11875149034311436,0.04423458079790784,1.8177272727272726,2826.410807175001,426.41080717500085
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,24,F24,29,2079,410428901,2079,2162160,2079,13540,2079,249.57790110597108,2079,91.47130670886975,2079,3694,2079,5877434.234321031,2079,887834.23432103,2079,13310,1,5,0.0803332699056975,0.0323723084673508,0,2822.3300334224564,422.3300334224564,299990,2079,10,0.1928172258089549,0.0888650308544167,50,3007.792120231657,607.7921202316566,197416.4987974988,1040.0,6.512746512746513,0.12004709047906256,0.04399774252470887,1.7768157768157768,2827.0486937571095,427.04869375710916
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,24,F24,30,2098,415753382,2098,2201851,2098,13681,2098,251.4995045213714,2098,92.66748735831818,2098,3975,2098,5927230.067653423,2098,892030.0676534234,2098,8060,1,5,0.0800332371169,0.0334267908497816,0,2820.984375494614,420.9843754946141,299981,2098,10,0.1866666666666666,0.0878442847750133,50,3001.1031691910894,601.1031691910894,198166.5309818875,1049.5,6.520972354623451,0.11987583628282716,0.04416944106688188,1.8946615824594852,2825.1811571274657,425.1811571274659
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,1,1740,359166600,1740,1514670,1740,17400,1740,348.0,1740,76.32768492126407,1740,2760,1740,4102638.365775791,1740,622638.3657757908,1740,6260,1,10,0.2,0.031824993960474,0,2100.001131774521,100.00113177452111,299950,1740,10,0.2,0.0722010662352539,50,4770.671661066272,2770.671661066272,206417.58620689655,870.5,10.0,0.2,0.043866485586933374,1.5862068965517242,2357.8381412504546,357.83814125045444
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,2,1745,353212100,1745,1523385,1745,17450,1745,349.0,1745,76.5218047918811,1745,2803,1745,4683740.513128851,1745,1193740.513128851,1745,6410,1,10,0.2,0.0325601161596167,0,2394.205274334812,394.20527433481175,299900,1745,10,0.2,0.0879830755894358,50,13562.637021407612,11562.637021407612,202413.81088825216,873.0,10.0,0.2,0.04385203713001782,1.6063037249283667,2684.0919846010606,684.0919846010607
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,3,1743,358482660,1743,1519896,1743,17430,1743,348.6,1743,76.92683655684824,1743,3058,1743,4358588.232599098,1743,872588.2325990987,1743,3960,1,10,0.2,0.0334991697615955,0,2371.136241901583,371.1362419015832,299930,1743,10,0.2,0.0887747458395969,50,8650.75102945611,6650.751029456111,205669.91394148022,872.0,10.0,0.2,0.04413473124317168,1.7544463568559954,2500.624344577796,500.62434457779614
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,4,1720,351819950,1720,1480060,1720,17200,1720,344.0,1720,75.14509362479843,1720,2561,1720,4237838.647580233,1720,797838.6475802334,1720,7660,1,10,0.2,0.0328863193918602,0,2363.722738942879,363.722738942879,299950,1720,10,0.2,0.0890631136837268,50,9960.11905861377,7960.119058613771,204546.48255813954,860.5,10.0,0.2,0.04368900792139444,1.488953488372093,2463.8596788257173,463.8596788257171
